zi,u_id,traditional,pinyin,strokes,meaning,notes,is_active,category,sub_category,is_radical,zi_count,ts,alias
⺀,418,,,2,,,Y,radical,,Y,,,
⺁,419,,yì,2,,,Y,radical,,Y,,,
⺌,51,,xiǎo,3,small, 尚 尝,Y,概念-,,,,2024-07-07 17:05:08,小
⺍,52,,xiǎo,3,small,学觉,Y,概念-,,,,2024-07-07 17:05:33,小
⺧,118,,niú,4,cow,告靠,Y,动物-,mammal,,1,,
⺩,425,,yù,4,jade,,Y,radical,,Y,,,玉
⺮,147,,zhú,6,bamboo,笑 笛 第 竿 等,Y,植物-,,,108,2024-07-07 19:49:14,竹
⺶,157,,yáng,6,sheep,着 羞,Y,动物-,,,,2024-07-07 17:03:47,羊
⺷,158,,yáng,6,sheep,美,Y,动物-,mammal,,1,,
⻏,213,,fù,3,"mound - https://en.wikipedia.org/wiki/Mound - A mound is a heaped pile of earth, gravel, sand, rocks, or debris. Most commonly, mounds are earthen formations such as hills and mountains, particularly if they appear artificial. A mound may be any rounded area of topographically higher elevation on any surface. Artificial mounds have been created for a variety of reasons throughout history, including habitation (see Tell and Terp), ceremonial (platform mound), burial (tumulus), and commemorative purposes (e.g. Kościuszko Mound).",陡 陆 防 际 队,Y,地理-,,,1,2024-02-11 09:01:37,
㐬,406,,liú,7,,,Y,,,,4,,
㔾,34,,jié,2,seal,,Y,社会-,,Y,6,2024-02-11 21:30:12,
一,1,,yī,1,one,丁 万 上 下,Y,数理-计算,number,Y,71,2024-03-02 17:05:51,
丁,260,,ding,2,fourth,,Y,数理-天干,,,20,,
七,313,,qī ,2,seven,,Y,数理-计算,number,,5,,
万,317,,wàn,3,Ten thousand,,Y,数理-计算,number,,1,,
丈,360,,zhàng,3,ten feet,,Y,数理-度量,,,2,,
三,264,,san,3,three,,Y,数理-计算,number,,7,2024-03-02 21:18:54,
上,329,,shàng,3,upper,,Y,数理-时空,location,,3,,
下,327,,xià,3,Down,,Y,数理-时空,location,,4,,
不,343,,"bú,bù",4,no,,Y,概念-,,,13,,
与,407,,"yú,yǔ,yù",3,and,,Y,,,,3,,
丑,339,,chǒu,4,ugly,,Y,概念-,,,16,,
专,408,,zhuān,4,Specialize,,Y,,,,3,,
且,272,,Qiě,5,further,祖组姐粗助租,Y,概念-,,,39,2024-02-11 09:21:30,
丘,359,,qiū,5,mound,,Y,地理-,,,6,,
丙,396,,bǐng,5,third,,Y,数理-天干,,,8,,
业,301,,yè,5,industry / business /trade,,Y,社会-,education,,5,,
东,324,,dōng,5,east,,Y,数理-时空,location,,6,,
丨,2,,shù,1,vertical line Through Alone Straight,个 中 丰 串 临,Y,radical,,Y,19,,
丬,390,,,,,,Y,radical,,Y,10,,
中,321,,"zhōng,zhòng",4,central,,Y,数理-时空,location,,13,,
丰,281,,fēng,4,abundant,,Y,植物-,,,15,,
丶,3,,zhǔ,1,dot / point,丸 义 丹 为 主 点,Y,radical,,Y,24,,
丷,17,,bā,2,eight,兰 关,Y,radical,,Y,26,2024-07-07 17:01:48,八
丸,271,,Wán,3,pill / pellet / ball / bolus,执汍孰芄,Y,概念-,,,9,,
为,357,,"wéi,wèi",4,for / serve as / be,,Y,概念-,,,1,,
丿,4,乀乁,piě,1,slash,乂 乃 乎,Y,radical,,Y,38,,
乀,5,,piě,1,slash,飞,Y,radical,,Y,3,,
乁,6,,piě,1,slash,,Y,radical,,Y,1,,
乂,265,,yì,2,,,Y,radical,,Y,21,,
乃,259,,nai,2,therefore / then /be,,Y,概念-,,,11,,
久,351,,jiǔ,3,long,,Y,概念-,,,8,,
义,409,,yì,3,righteous / moral / justice,,Y,概念-,,,3,,
之,397,,zhī,3,of,,Y,概念-,,,7,,
